artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
Leonard Cohen,"Leonard Cohen’s “Hallelujah” begins with scripture and ends with the confession of a broken man, holding onto the one word with any hope left in it for him. “I wanted to indicate that Hallelujah can come out of things that have nothing to do with religion,” he once said. The song itself struck some secret chord with listeners and got born again through the lips of John Cale, Jeff Buckley, and Bob Dylan. “The only moment that you can live here comfortably in these absolutely irreconcilable conflicts is in this moment when you embrace it all and you say, ‘Look, I don’t understand a fucking thing at all — Hallelujah!'” Cohen said. “That’s the only moment that we live here fully as human beings.”",277160,"['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']",63,74,"{'compound': 0.6501, 'neg': 0.06, 'neu': 0.848, 'pos': 0.092}",'Hallelujah',Leonard Cohen,1984,False,False,singer-songwriter
Pulp,"Brit-pop legend Jarvis Cocker has more soul and swagger exhaling a puff of smoke than most singers have in their entire careers. His band Pulp were kicking around the U.K. indie scene for years until they blew up in the Nineties with “Common People.” Cocker sings about a posh art student who tells him, “I want to sleep with common people like you.” (His reply? “I’ll see what I can do.”) It’s a witty satire of class tourism, but also a defiant tale of feeling like an outcast your whole life. “Common People” was a huge U.K. hit in 1995 — yet it just keeps getting more beloved over the years.",351626,"['alternative rock', 'art rock', 'britpop', 'modern rock', 'new wave', 'permanent wave', 'pop rock', 'rock', 'sheffield indie']",68,75,"{'compound': 0.9079, 'neg': 0.02, 'neu': 0.843, 'pos': 0.137}",'Common People',"Candida Doyle, Jarvis Cocker, Nick Banks, Russell Senior, Steve Mackey",1996,False,False,rock
Johnny Cash,"Cash began work on this track while he was in Germany with the Air Force, years before he would ever enter a studio. He returned to it after he hit with “Folsom Prison Blues,” only to find that the original tape had gotten mangled. But Cash liked the strange sound and added a click-clack rhythm by winding a piece of wax paper through his guitar strings. Sam Phillips then had him speed up the song, originally a ballad, to a driving rumble. “It was different than anything else you had ever heard,” Bob Dylan told Rolling Stone. “A voice from the middle of the Earth.”",176533,"['arkansas country', 'outlaw country']",66,76,"{'compound': 0.25, 'neg': 0.041, 'neu': 0.908, 'pos': 0.051}",'I Walk the Line',Johnny Cash,1956,False,False,folk
The Modern Lovers,"Jonathan Richman was an ordinary geek from suburban Boston, but he made “Roadrunner” the ultimate garage-rock road trip. It’s an ecstatic two-chord tribute to cruising down the highway, just a lonely kid in a car with the radio on. “High school and I didn’t understand each other,” Richman said in 1976. “So I heard the Velvet Underground, got inspired, took up guitar, and terrorized audiences with my four-and-a-third-note vocal range.” He became a key punk influence, even if he sang about health food, liking his parents, and not doing drugs. This 1972 demo (featuring future members of Talking Heads and the Cars) wasn’t even released until four years later. But “Roadrunner” has been breaking speed limits ever since.",246440,"['alternative rock', 'anti-folk', 'art rock', 'boston rock', 'new wave', 'psychedelic rock', 'punk', 'punk blues']",56,77,"{'compound': 0.4588, 'neg': 0.079, 'neu': 0.826, 'pos': 0.095}",'Roadrunner',Jonathan Richman,1976,False,False,rock
The Four Tops,"Before writing “Reach Out (I’ll Be There),” songwriting team Holland-Dozier-Holland had long discussions about what women want. “We all three agreed that they wanted someone to be there for them, through thick or thin, and be there at their beck and call,” Lamont Dozier once said. The truly brilliant turn, though, was contrasting apocalyptically afflicted verses and an angelic chorus, belted by lead Top Levi Stubbs, sounding like he’d drag himself over broken glass for the one he loved. “Eddie [Holland] realized that when Levi hit the top of his vocal range, it sounded like someone hurting, so he made him sing right up there,” the Tops’ Duke Fakir once said. “You could hear the tears in his voice.”",214000,['karaoke'],0,78,"{'compound': 0.8591, 'neg': 0.087, 'neu': 0.752, 'pos': 0.162}",'Reach Out (I'll Be There)',"Brian Holland, Eddie Holland, Lamont Dozier",1967,True,False,other
Amy Winehouse,"“It’s a constant thing for me to better myself,” Winehouse said before she embarked on the making of “Back to Black.” “I’ve got a clear ambition now, to make a record of what I hear in my head … and I don’t want strings.” The great, melodramatic girl-group records of the early Sixties became the perfect backdrop for her updated tales of on-again, off-again romance and treachery, while the song’s knowingly retro arrangement gave it a cinematic gravitas (which she heightened by adopting a beehive do). Winehouse’s vocal matches the mournful piano and tympani, stoic and pained, flinty and acute. “The thing that always drove me,” she said, “[is] relationships and how fucked up they can get.”",241293,"['british soul', 'neo soul']",74,79,"{'compound': 0.8126, 'neg': 0.077, 'neu': 0.781, 'pos': 0.142}",'Back to Black',"Amy Winehouse, Mark Ronson",2006,False,True,soul
Ray Charles,"“The people just went crazy, and they loved that little ‘ummmmh, unnnnh,’” Ray Charles told Rolling Stone in 1978, describing the instant genesis of “What’d I Say,” his first Top 10 pop single. He literally wrote “What’d I Say” in front of an audience. He and his crack R&B orchestra, newly supplemented by a female vocal group, the Raelettes, were playing a marathon dance show in a small town near Pittsburgh. When Charles ran out of repertoire late in the second set, he kicked into an uphill bass-note arpeggio on the piano, told the band to follow along, and instructed the Raelettes, “Whatever I say, just repeat after me.” Afterward, Charles said, dancers rushed up to him and asked, “Where can I buy that record?”",,,,80,"{'compound': 0.6249, 'neg': 0.019, 'neu': 0.92, 'pos': 0.061}",What'd I Say',Ray Charles,1957,True,False,other
The Velvet Underground,"The Velvets were ahead of their time with this blast of New York street life. In the Summer of Love, while hippie heads were full of crystal visions, Lou Reed was getting down and dirty about the details of scoring $26 worth of heroin in Harlem. “Everything about that song holds true,” said Reed, “except the price.” Reed and Sterling Morrison beat up on the evil riff, with jagged R&B guitars distorted into proto-punk menace. John Cale walks it home with that one-note piano barrage. Within a few years, the world was full of bands trying to sound this mean.",,,,81,"{'compound': -0.8555, 'neg': 0.142, 'neu': 0.789, 'pos': 0.069}",I’m Waiting for the Man',Lou Reed,1967,False,False,other
Adele,"“The beat of the song was my heartbeat … it just built and built,” Adele said of the surging soul rumble that backed her on what became her signature hit. Stung by a bad breakup and struggling to find the right artistic footing for her second album, the singer met with producer Paul Epworth, who encouraged her to tap into her rawest emotions. To get the appropriate booming effect, Epworth used a marching band kick drum to add muscle to the groove. But the song’s power was all Adele, whose demo vocal made the finished track. As Epworth told Rolling Stone of the “Rolling in the Deep” session, “She was obviously quite fragile and very open about what had happened. But she had fire in her belly.”",228093,"['british soul', 'pop', 'pop soul', 'uk pop']",76,82,"{'compound': -0.6652, 'neg': 0.056, 'neu': 0.922, 'pos': 0.022}",Rolling in the Deep',"Adele Laurie Blue Adkins, Paul Richard Epworth",2011,False,True,pop
Bob Dylan,"Dylan was in full poetic frenzy when he wrote this surreal pageant, the 11-minute tour de force that caps his 1965 classic Highway 61 Revisited. “I was in the back of a taxicab,” Dylan told Rolling Stone in 1969, when asked where he wrote the song. “That period of ‘Desolation Row,’ that kind of New York-type period, when all the songs were ‘city songs.’” (Considering how “Desolation Row” clocks in at 11 minutes, that’s one long cab ride.) His cast of misfits includes Cinderella, Romeo, Ophelia, Casanova, Cain and Abel, Einstein disguised as Robin Hood. And Dylan himself, ever the outsider. “I don’t consider myself outside of anything,” he said at the time. “I just consider myself not around.”",681400,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",47,83,"{'compound': -0.5267, 'neg': 0.037, 'neu': 0.963, 'pos': 0.0}",Desolation Row',Bob Dylan,1965,False,False,rock
Al Green,"After producer Willie Mitchell gave Green a rough mix of a tune he and drummer Al Jackson had worked out, Green wrote the lyrics in five minutes. Still, Green didn’t want to record the song and fought with Mitchell for two days before finally agreeing to cut it. The recording was finished late on a Friday night in the fall of 1971; Mitchell pressed the single on Monday, and by Thursday Green was told that “Let’s Stay Together” would be entering the charts at Number Eight. Within two weeks, it had reached Number One on the R&B charts, and in February 1972, the warm, buoyant love song gave Green his only Number One pop hit.",199396,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",73,84,"{'compound': 0.8225, 'neg': 0.036, 'neu': 0.825, 'pos': 0.139}",Let's Stay Together',"Al Green, Al Jackson Jr., Willie Mitchell",1971,True,False,soul
Prince,"When Mazarati, one of the bands in Prince’s Paisley Park orbit, asked him for a song, Prince dashed off a bluesy acoustic demo for them. Mazarati added a funk groove, and Prince was smart enough to take the song back, maintaining some of producer David Z’s arrangements and the band’s background vocals but no bass line, to the disappointment of his label. “At that time, however, Prince had enough power to go, ‘That’s the single and you’re not getting another one until you put it out.’ The rest is history,” Z recalled in an interview. “That song totally reignited his career, and a year later Warner Bros. was trying to sign people who sounded like that.”",226240,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']",72,85,"{'compound': -0.4854, 'neg': 0.061, 'neu': 0.897, 'pos': 0.043}",Kiss',Prince,1986,True,False,funk
The Rolling Stones,"In one of its first incarnations, then called “Good Time Women,” this Exile on Main St. gem was friskier, faster, and bawdier. By the time it was transformed into “Tumbling Dice” during the infamous Exile sessions in the South of France, the song had been slowed down. “I remember writing the riff upstairs in the very elegant front room,” said Keith Richards, “and we took it downstairs the same evening, and we cut it.” Mick Jagger’s lyrics fit the slowed-down groove, revealing a new sense of gritty weariness. Since Bill Wyman wasn’t around, Mick Taylor played bass, as well as those slinky slide-guitar parts.",226333,"['british invasion', 'classic rock', 'rock']",61,86,"{'compound': 0.807, 'neg': 0.019, 'neu': 0.887, 'pos': 0.094}",Tumbling Dice',"Mick Jagger, Keith Richards",1972,False,False,rock
LCD Soundsystem,"James Murphy and his crew of NYC punk-funk warriors whipped up a sardonic generational anthem in “All My Friends” — a celebration of hitting the dance floor until dawn, even when you’re old enough to know better. Over the urgent electro pulse, Murphy looks back on his wasted nights and crushed dreams. “I was in my thirties,” he admitted. “I’d been a completely failed teenager and twentysomething, deeply failed, deeply, deeply failed. Like ‘live with your rich girlfriend so you don’t have to pay rent’ failed, ‘be homeless in your office on an inflatable bed’ failed.” Yet the music surges with joy, capturing that late-night moment when you realize that all your years of stupid decisions have accidentally added up to a life.",462266,"['alternative dance', 'alternative rock', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock']",58,87,"{'compound': -0.853, 'neg': 0.185, 'neu': 0.685, 'pos': 0.129}",All My Friends',"Pat Mahoney, James Murphy, Tyler Pope",2007,False,False,rock
Guns N' Roses,"Rose wrote this love letter to his then-girlfriend Erin Everly (daughter of Don). Slash said he was just “fucking around with the intro riff, making a joke.” The guitarist didn’t think much of it, but Rose knew better. That steely-yet-sensitive guitar part would accompany a bit of inspired Southern-rock cosplay from Rose. “I went out and got some old Lynyrd Skynyrd tapes to make sure we’d got that down-home, heartfelt feeling,” he said at the time. Though Rose and Everly’s marriage didn’t last long, the song went on to be a pivotal breakthrough for the band and remains its sole Number One hit in the U.S.",356066,"['glam metal', 'hard rock', 'rock']",73,88,"{'compound': 0.9625, 'neg': 0.013, 'neu': 0.815, 'pos': 0.172}",Sweet Child O' Mine',"Duff McKagan, Jeffrey Isbell, Saul Hudson, Steven Adler, W. Axl Rose",1987,False,False,rock
The Beatles,"The Beatles’ biggest U.S. single — nine weeks at Number One — was also their longest, at seven minutes and 11 seconds. During the recording sessions, producer George Martin objected to the length, claiming DJs would not play the song. “They will if it’s us,” John Lennon shot back. Paul McCartney wrote “Hey Jude” in June 1968, singing to himself on his way to visit Lennon’s soon-to-be-ex-wife, Cynthia, and their son, Julian. The opening lines were, McCartney once said, “a hopeful message for Julian: ‘Come on, man, your parents got divorced. I know you’re not happy, but you’ll be OK.'” McCartney changed “Jules” to “Jude” — a name inspired by Jud from the musical Oklahoma!",425653,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",73,89,"{'compound': 0.657, 'neg': 0.03, 'neu': 0.902, 'pos': 0.068}",Hey Jude',"John Lennon, Paul McCartney",1968,False,False,rock
Aretha Franklin,"Carole King and her husband/songwriting partner Gerry Goffin wrote “Natural Woman” specifically for Aretha Franklin at the request of producer Jerry Wexler in 1967, shortly after “Respect” and “I Never Loved a Man (The Way I Love You)” turned her into a superstar. It came together in their suburban New Jersey home over just a few hours, after their kids went to bed. “Hearing [Aretha sing it] for the first time, I experienced a rare speechless moment,” King wrote in her 2012 memoir Natural Woman. “To this day I can’t convey how I felt in mere words.… It touched me more than any recording of any song I had ever written.”",165333,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",68,90,"{'compound': 0.5505, 'neg': 0.029, 'neu': 0.91, 'pos': 0.062}",(You Make Me Feel Like) A Natural Woman',"Carole King, Gerry Goffin, Jerry Wexler",1967,True,True,soul
UGK feat. Outkast,"The influence of Houston’s UGK is felt all over hip-hop, from Jay-Z to Megan Thee Stallion, but it took 20 years for the group to record the song that truly solidified its place in the canon. Sampling Willie Hutch’s “I Choose You,” full of the trillest love stories ever told, and opened by André 3000’s most iconic verse, the song is as much fun as its music video’s wild wedding. “People always telling me they walk down the aisle to that song,” Outkast’s Big Boi told Rolling Stone. “When people get married to music, that’s some powerful shit.” The song helped shoot UGK’s 2007 album, Underground Kingz, to Number One, a first for the duo. Sadly, just six months after the video’s release, UGK’s Pimp C died, leaving “Int’l Players Anthem” as a glorious epitaph.",,,,91,"{'compound': 0.9366, 'neg': 0.073, 'neu': 0.77, 'pos': 0.157}",Int'l Players Anthem (I Choose You)',"Bernard Freeman, Chad Butler, Andre Benjamin, Antwan Patton, Jordan Houston, Paul Beauregard",2007,True,False,other
Little Richard,"Little Richard first heard the phrase “Good golly, Miss Molly” from a Southern DJ named Jimmy Pennick. He turned the words into perhaps his most blatant assault on American propriety: “Good golly, Miss Molly/You sure like to ball.” He swiped the music from Ike Turner’s piano intro to Jackie Brenston’s “Rocket 88,” recorded by Sam Phillips in Memphis seven years earlier. “I always liked that record,” Richard recalled, “and I used to use the riff in my act, so when we were looking for a lead-in to ‘Good Golly, Miss Molly,’ I did that and it fit.” Richard had renounced rock & roll the previous year, but Specialty Records couldn’t leave this classic in the vaults.",128866,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly', 'soul']",54,92,"{'compound': -0.1127, 'neg': 0.067, 'neu': 0.888, 'pos': 0.046}","Good Golly, Miss Molly'","Robert Blackwell, John Marascalco",1958,True,False,pop
Kelly Clarkson,"Swedish pop scientists Max Martin and Lukasz “Dr. Luke” Gottwald wrote this indignant track with Pink in mind, but Clarkson’s A&R rep snatched it up for the first-ever American Idol. The result was a career-making hit that gave teen pop a feisty new template. When she first heard a rough demo of the song, Clarkson wasn’t sure it was right for her. “We amped up the track and made it a little more rockin’,” she told Rolling Stone of the sessions in Sweden with Martin and Dr. Luke. “But they didn’t know I was going to go an octave above on the chorus.”",188960,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",70,93,"{'compound': 0.2083, 'neg': 0.021, 'neu': 0.95, 'pos': 0.029}",Since U Been Gone',"Lukasz Gottwald, Martin Sandberg",2004,False,True,pop
Whitney Houston,"Dolly Parton wrote “I Will Always Love You” about the difficult decision to move on from her mentor Porter Wagoner, and reached Number One on the country charts with two different recordings of it. Kevin Costner suggested the song to his Bodyguard co-star Houston, who with the aid of producer David Foster, revamped it as a mighty R&B ballad that became an even bigger hit. Houston and Costner insisted on keeping the song’s a cappella intro against the label’s wishes. “I didn’t care if it was ever on the radio,” Costner said later. “I said, ‘We’re also going to do this a cappella at the beginning. I need it to be a cappella because it shows a measure of how much she digs this guy — that she sings without music.'”",271093,"['dance pop', 'pop', 'urban contemporary']",75,94,"{'compound': 0.802, 'neg': 0.019, 'neu': 0.893, 'pos': 0.089}",I Will Always Love You',Dolly Parton,1992,True,True,pop
Oasis,"Supposedly inspired by his girlfriend at the time, Noel Gallagher wrote this unabashedly earnest and heartfelt ballad, which has become one of the biggest rock standards of the past 20 years. It earns at least $1 million a year and passed 1 billion Spotify streams in 2020. Ironically, Liam Gallagher was iffy on it at first. “I said, ‘I don’t like this — it’s a bit fonky,’” he told Rolling Stone last year. “I got Police vibes. It was a bit Sting. I like the heavier stuff.” But he ultimately decided to give it a go, and the whole song was finished in about two days, with Noel playing all the guitars, even bass, and Liam knocking out his vocal in a few hours. “I was always desperate to get to the pub,” he said.",258773,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",77,95,"{'compound': 0.7391, 'neg': 0.022, 'neu': 0.888, 'pos': 0.09}",Wonderwall',Noel Gallagher,1995,False,False,rock
Jay-Z,"The original “99 Problems” was a 1993 song by gangsta-rap great Ice-T. The idea of revisiting it came from Chris Rock. As producer Rick Rubin recalled, “[Chris] said, ‘Ice-T has this song, and maybe there’s a way to flip it around and do a new version of that.’” Jay-Z asked for a beat like the Eighties classics Rubin had produced for the Beastie Boys, LL Cool J, and Run-DMC, and he came up with the ideal stark, slamming backdrop for Jay to lance into everything from critics to racist cops. “At no point in the song am I talking about a girl,” he said.",234626,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",64,96,"{'compound': 0.7351, 'neg': 0.074, 'neu': 0.796, 'pos': 0.129}",99 Problems',"Shawn Carter, Fredrick Rubin, Norman Landsberg, Felix Pappalardi, William Squier, John Ventura, Leslie Weinstein, Tracy Marrow, Alphonso Henderson, Bernard Freeman",2003,True,False,hip hop
Patti Smith,"The legend-making first line of Smith’s galvanic act of rock & roll vandalism — “Jesus died for somebody’s sins but not mine” — began as part of a poem called “Oath,” which she performed around the East Village in the early Seventies. When she began practicing with guitarist Lenny Kaye and piano player Richard Sohl, they often jammed on Them’s 1964 garage-rock song “Gloria,” reveling in its cathartic simplicity, and Smith came up with the idea of fusing the two, creating something reverent and revolutionary that opened her landmark 1975 debut LP, Horses, the first album-length bow shot from the CBGBs punk scene.",354320,"['art punk', 'art rock', 'folk rock', 'permanent wave', 'protopunk', 'rock']",50,97,"{'compound': -0.0129, 'neg': 0.042, 'neu': 0.917, 'pos': 0.041}",Gloria',"Patti Smith, Van Morrison",1975,False,True,rock
The Beatles,"“‘In My Life’ was, I think, my first real, major piece of work,” John Lennon said. “Up until then it had all been glib and throwaway.” The ballad reflects the serious turn the Beatles took with Rubber Soul, but it specifically arose from a journalist’s challenge: Why don’t you write songs about your life? The original lyrics put Lennon on a bus in Liverpool, “and it was the most boring sort of ‘What I Did on My Holidays Bus Trip’ song,” he said. So Lennon rewrote the lyrics, changing the song into a gorgeous reminiscence about his life before the Beatles. The distinctive “harpsichord” solo near the song’s end is actually an electric piano played by George Martin and sped up on tape.",146333,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",71,98,"{'compound': 0.9163, 'neg': 0.034, 'neu': 0.841, 'pos': 0.124}",In My Life',"John Lennon, Paul McCartney",1965,False,False,rock
Bee Gees,"This disco classic was written when director Robert Stigwood approached the Bee Gees for music for a film based on the Brooklyn club scene. He needed a groove for an eight-minute John Travolta dance sequence and asked for a song called “Saturday Night,” but since the Bay City Rollers already had a hit with that title, the band wisely took things in a different direction. “Whether you like the song or not, John couldn’t dance to ‘Stayin’ Alive.’ It wasn’t a dance record, if you think about it,” Barry Gibb said later. Travolta didn’t need to dance to it, anyway — all he had to do was strut his way to infamy in the film’s opening scene.",285373,"['disco', 'mellow gold', 'soft rock']",77,99,"{'compound': 0.7876, 'neg': 0.0, 'neu': 0.94, 'pos': 0.06}",Stayin' Alive',"Robin Gibb, Maurice Gibb, Barry Gibb",1977,False,False,rock
Bob Dylan,"“Blowin’ in the Wind” was Dylan’s first important composition. It is also the most famous protest song ever written. The song’s melody borrows from the slavery-era folk song “No More Auction Block for Me,” and its language is rooted as much in Woody Guthrie’s earthy vernacular as in biblical rhetoric. But in a decisive break with the current-events conventions of topical folk songs, Dylan framed the crises around him in a series of fierce, poetic questions that addressed what he believed was man’s greatest inhumanity to man: indifference. “Some of the biggest criminals are those that turn their heads away when they see wrong,” he declared in the Freewheelin’ liner notes.",165426,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']",68,100,"{'compound': 0.1209, 'neg': 0.083, 'neu': 0.839, 'pos': 0.079}",Blowin' in the Wind',Bob Dylan,1963,False,False,rock
Yeah Yeah Yeahs,"The Lower East Side trio was one of the coolest bands to emerge from the New York indie-rock boom of the early 2000s, fronted by force-of-nature vocalist Karen O. “Maps” is both a soul ballad and an art-punk classic, with torrents of jagged guitar noise and thundering drums backing up Karen O’s lovesick wail. The YYY’s breakthrough hit was inspired by a case of real-life rock & roll romance: Karen O wrote the song about being on tour and missing her then-boyfriend, Angus Andrew, singer for fellow New York band Liars. Years later, “Maps” would get the ultimate endorsement when Beyoncé interpolated it for the Lemonade track “Hold Up.”",219986,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock']",66,101,"{'compound': 0.34, 'neg': 0.067, 'neu': 0.845, 'pos': 0.088}",Maps',"Brian Chase, Karen Lee Orzolek, Nicholas Joseph Zinner",2003,False,False,rock
Chuck Berry,"The pileup of hillbilly country, urban blues, and hot jazz in Berry’s electric twang is the primal language of pop-music guitar. The groove for “Maybelline” comes from “Ida Red,” a 1938 recording by Bob Wills and His Texas Playboys (of a song that dates back to the 19th century). By the time of the May 21st, 1955, session, Berry had been playing country tunes for Black audiences for a few years: “After they laughed at me a few times, they began requesting the hillbilly stuff.” Leonard Chess came up with the title, inspired by a Maybelline mascara box lying on the floor at the Chess studio.",158026,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",15,102,"{'compound': 0.3612, 'neg': 0.05, 'neu': 0.877, 'pos': 0.073}",Maybelline',Chuck Berry,1955,True,False,rock
Alanis Morissette,"Long rumored to be about Full House actor Dave Coulier, whom she once dated, Morissette’s scorched-earth breakthrough boasts a one-and-done vocal performance, plus instrumental contributions from the Red Hot Chili Peppers’ Dave Navarro and Flea, as well as longtime Tom Petty sideman Benmont Tench. “I didn’t write it to get back,” Morissette said. “It’s a devastated song, and in order to pull out of that despondency, being angry is lovely. I think the movement of anger can pull us out of things.” The blockbuster sales of her album Jagged Little Pill showed she wasn’t the only one who felt angry.",249493,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'pop rock', 'singer-songwriter']",66,103,"{'compound': -0.743, 'neg': 0.14, 'neu': 0.775, 'pos': 0.085}",You Oughta Know',"Alanis Morissette, Glen Ballard",1995,False,True,rock
The Jackson 5,"“I Want You Back” was the song that introduced Motown to the futuristic funk beat of Sly Stone and James Brown. It also introduced the world to an 11-year-old Indiana kid named Michael Jackson. The five dancing Jackson brothers became stars overnight; “ABC,” “The Love You Save,” and “I’ll Be There” followed in rapid succession on the charts, but none matched the boyish fervor of “Back.” It remains one of hip-hop’s favorite beats, sampled everywhere from Kris Kross’ “Jump” to Jay-Z’s “Izzo (H.O.V.A.).”",176333,"['motown', 'soul']",75,104,"{'compound': 0.7992, 'neg': 0.0, 'neu': 0.896, 'pos': 0.104}",I Want You Back',"Alphonso Mizell, Berry Gordy, Dennis Lussier, Freddie Perren",1969,True,False,soul
David Bowie,"“Inspired by Frankie,” read Bowie’s liner note about this Hunky Dory track when it was released in 1971. The Frankie in question was Sinatra: His “My Way” was based on the 1967 song “Comme d’habitude,” by French artist Claude François, for which Bowie had written (rejected) English lyrics. “That really made me angry for so long  —  about a year,” Bowie later joked. He wrote the similar-sounding “Life on Mars?” as “a revenge trip on ‘My Way.’” Accompanied by Rick Wakeman of Yes on piano, Bowie spins the surrealistic tale about the limits of escapism, complete with references to John Lennon’s “Working Class Hero” and the Hollywood Argyles’ “Alley Oop,” a 1960 doo-wop tune about a caveman.",235986,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",68,105,"{'compound': -0.4522, 'neg': 0.058, 'neu': 0.901, 'pos': 0.041}",Life on Mars?',David Bowie,1971,False,False,rock
The Rolling Stones,"The inspiration for this hellish detour came from Soviet writer Mikhail Bulgakov’s novel The Master and Margarita, which depicts Satan having his way in 1930s Moscow. Keith Richards struggled to find the right backing for Mick Jagger’s menacing Dylan-esque lyrics, unsure “whether it should be a samba or a goddamn folk song,” he recalled. The Stones ended up giving the devil one of their best grooves, built on Rocky Dijon’s congas and Bill Wyman’s Bo Diddley-ish maracas. “Before, when we were just innocent kids out for a good time, [the media said], ‘They’re evil, they’re evil,'” Richards said. “So that makes you start thinking about evil.… Everybody’s Lucifer.”",378146,"['british invasion', 'classic rock', 'rock']",74,106,"{'compound': -0.5859, 'neg': 0.156, 'neu': 0.701, 'pos': 0.143}",Sympathy for the Devil',"Keith Richards, Mick Jagger",1968,False,False,rock
Wu-Tang Clan,"Originally titled “Lifestyles of the Mega-Rich,” the third single from Enter the Wu-Tang (36 Chambers) offers a gritty East Coast rejoinder to slick West Coast gangsta rap. Inspectah Deck later recalled writing his verses years earlier, “standing in front of the building with crack in my sock.” Producer RZA pared down what was at first a sprawling crime narrative, and Method Man provided one of the greatest hooks in hip-hop history, an acronym for “Cash rules everything around me,” which he got from his buddy Rader Rukus, and “dolla dolla bill,” a reference to Jimmy Spicer’s early rap single “Money (Dolla Bill Y’all).”",252186,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",72,107,"{'compound': 0.1779, 'neg': 0.033, 'neu': 0.927, 'pos': 0.04}",C.R.E.A.M.',Wu-Tang Clan,1994,True,False,hip hop
The Cure,"Robert Smith wrote the Cure’s 1987 single “Just Like Heaven” after a romantic getaway to Beachy Head in East Sussex, England, with his future wife, Mary Poole. “The song is about hyperventilating — kissing and fainting to the floor,” Smith said in 2003. “Mary dances with me in the video because she was the girl, so it had to be her. The idea is that one night like that is worth 1,000 hours of drudgery.” Millions of people connected to that sentiment, and “Just Like Heaven” became the Cure’s first Top 40 hit in America.",212000,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",65,108,"{'compound': 0.9393, 'neg': 0.0, 'neu': 0.83, 'pos': 0.17}",Just Like Heaven',"Boris Williams, Lol Tolhurst, Porl Thompson, Robert Smith, Simon Gallup",1987,False,False,rock
Sly and the Family Stone,"“Everyday People” appeared on Sly and the Family Stone’s fourth LP, Stand!, which explored everything from hot funk to cool pop. “I was into everyone’s records,” Sly Stone said of his radio days. “I’d play Dylan, Hendrix, James Brown back-to-back, so I didn’t get stuck in any one groove.” As the song was going to Number One, Stone canceled three months of bookings, including a slot on The Ed Sullivan Show, when trumpeter Cynthia Robinson needed emergency gallbladder surgery. Hits were nice, but family came first.",141506,"['classic rock', 'classic soul', 'disco', 'folk rock', 'funk', 'funk rock', 'motown', 'psychedelic soul', 'rock', 'soul']",64,109,"{'compound': 0.3094, 'neg': 0.039, 'neu': 0.885, 'pos': 0.076}",Everyday People',Sylvester Stewart,1968,True,False,rock
The Beatles,"In 1968, James Taylor, a new signee to the Beatles’ Apple Records, recorded “Something in the Way She Moves,” the title of which inspired George Harrison to write “Something” near the end of the White Album sessions (one place-holder lyric: “Something in the way she moves/Attracts me like a cauliflower”). It was too late to squeeze it onto the disc, so he gave it to Joe Cocker. The Beatles cut a new version the next year with a string section, Harrison’s only A-side single with the Beatles, which quickly became a standard recorded by everyone from Frank Sinatra to Ray Charles.",182293,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",69,110,"{'compound': 0.5574, 'neg': 0.021, 'neu': 0.923, 'pos': 0.057}",Something',George Harrison,1969,False,False,rock
